incident_name,incident_is_final,incident_date_last_update,incident_date_created,incident_administrative_unit,incident_county,Population(SUM),incident_acres_burned,incident_containment,incident_control,incident_cooperating_agencies,incident_longitude,incident_latitude,incident_type,incident_id,incident_date_extinguished,incident_dateonly_extinguished,incident_dateonly_created,is_active
306 Fire,Y,2013-05-05 18:00:00+00:00,2013-05-01 19:00:00+00:00,CAL FIRE Tehama-Glenn Unit,Glenn,28657,217,100,nan,CAL FIRE Tehama-Glenn Unit,-122.560862,39.514139,nan,5649e78d-7c26-4698-89a0-b0fa9a35cf78,2013-05-05 18:00:00+00:00,5/5/2013,5/1/2013,N
Lytle Fire,Y,2013-05-15 08:15:00+00:00,2013-05-13 13:30:00+00:00,"USFS San Bernardino National Forest, CAL FIRE San Bernardino Unit",San Bernardino,2180563,75,100,nan,"USFS San Bernardino National Forest, CAL FIRE San Bernardino Unit, CAL FIRE, USFS, San Bernardino Co., San Bernardino City, Rialto, Rancho, Ontario, CHP, San Bernardino Sheriff's Office",-117.4408,34.1834,nan,e2c4b308-9a2d-483b-8434-999bef9adc7c,2013-05-15 08:15:00+00:00,5/15/2013,5/13/2013,N
Gorgonio Fire,Y,2022-10-24 11:40:58+00:00,2013-05-04 11:43:00+00:00,CAL FIRE/Riverside County Fire,Riverside,2429487,650,100,nan,CAL FIRE/Riverside County Fire,-116.855019,33.894055,nan,958ce6d2-97f9-4848-8620-d14ab87f329d,2013-05-05 18:45:00+00:00,5/5/2013,5/4/2013,N
Grand Fire,Y,2013-05-21 19:45:00+00:00,2013-05-15 12:50:00+00:00,CAL FIRE / USFS Los Padres National Forest,"Kern, Ventura",1748892,4346,100,nan,"CAL FIRE / USFS Los Padres National Forest, CAL FIRE, USFS, KERN CO FD, VENTURA CO FD, KERN COUNTY SO, VENTURA CO SO, LA CO SO, LAFD, CALEMA, BLM, KERN CO RD DEPT., CHP, CALIFORNIA STATE PARKS",-118.9411,34.7861,nan,e0d038e9-0926-4c05-8317-ec7075a04b12,2013-05-21 19:45:00+00:00,5/21/2013,5/15/2013,N
54 Fire,Y,2013-05-17 08:30:00+00:00,2013-05-16 13:48:00+00:00,CAL FIRE Riverside Unit,Riverside,2429487,40,100,nan,CAL FIRE Riverside Unit,-116.161201,33.655638,nan,e215290f-d0b4-48fd-be32-f599959347b1,2013-05-17 08:30:00+00:00,5/17/2013,5/16/2013,N
Lake Fire,Y,2013-05-18 19:00:00+00:00,2013-05-17 13:23:00+00:00,CAL FIRE/Los Angeles County ,Los Angeles,9936690,712,100,nan,CAL FIRE/Los Angeles County ,-118.610044,34.49149,nan,39af7eac-c188-411f-8c8a-d165c5fca4a9,2013-05-18 19:00:00+00:00,5/18/2013,5/17/2013,N
Lilly 2 Fire,Y,2013-05-20 19:10:00+00:00,2013-05-19 15:07:00+00:00,CAL FIRE Madera-Mariposa-Merced Unit,Madera,157243,91,100,nan,CAL FIRE Madera-Mariposa-Merced Unit,-119.7917,37.1927,nan,2b765a08-c770-4b19-baa8-00dffe3fa838,2013-05-20 19:10:00+00:00,5/20/2013,5/19/2013,N
Cottontail Fire,Y,2013-05-20 19:10:00+00:00,2013-05-20 15:45:00+00:00,CAL FIRE San Luis Obispo Unit,San Luis Obispo,281712,35,100,nan,CAL FIRE San Luis Obispo Unit,-120.91375,35.49864,nan,f17c523c-bf01-4245-899b-7c2331096dae,2013-05-20 19:10:00+00:00,5/20/2013,5/20/2013,N
Cherry Fire,Y,2013-05-20 18:50:00+00:00,2013-05-20 13:47:00+00:00,CAL FIRE Riverside Unit,Riverside,2429487,25,100,nan,CAL FIRE Riverside Unit,-116.907213,33.96201,nan,a60e315c-23d5-4ba4-869c-5c1e22a25e7a,2013-05-20 18:50:00+00:00,5/20/2013,5/20/2013,N
Water Fire,Y,2013-05-21 19:30:00+00:00,2013-05-21 14:16:00+00:00,CAL FIRE/Riverside County Fire ,Riverside,2429487,90,100,nan,CAL FIRE/Riverside County Fire ,-116.6534,33.9582,nan,13850faa-5bab-4fd7-bac3-433ce9250c4d,2013-05-21 19:30:00+00:00,5/21/2013,5/21/2013,N
Shelton Fire,Y,2013-05-30 13:25:00+00:00,2013-05-30 11:20:00+00:00,CAL FIRE Tuolumne-Calaveras Unit ,San Joaquin,779445,303,100,nan,CAL FIRE Tuolumne-Calaveras Unit ,-120.90325,38.04993,nan,0b51d59b-457d-4a62-b066-55c2b8d400e2,2013-05-30 13:25:00+00:00,5/30/2013,5/30/2013,N
Border Fire,Y,2013-05-23 08:30:00+00:00,2013-05-22 16:14:00+00:00,CAL FIRE San Diego Unit,San Diego,3289701,100,100,nan,CAL FIRE San Diego Unit,-116.900368,32.564465,nan,e077e091-f890-477c-b948-eb23774b432e,2013-05-23 08:30:00+00:00,5/23/2013,5/22/2013,N
San Felipe Fire,Y,2022-10-24 11:41:15+00:00,2013-05-23 12:20:00+00:00,CAL FIRE San Diego Unit,San Diego,3289701,2650,100,nan,"CAL FIRE San Diego Unit, CALFIRE, USFS, BLM, SAN DIEGO SHERIFF'S OFFICE, AMR, CAL EMA, SAN DIEGO CITY, LOCAL GOVERNMENT, SAN DIEGO FIRE AUTHORITY, RESERVATION, CCC",-116.52579,33.12111,nan,859479e3-918c-42c6-bb74-5fdc17930a16,2013-05-26 17:45:00+00:00,5/26/2013,5/23/2013,N
Homestead Fire,Y,2013-05-25 18:45:00+00:00,2013-05-25 17:35:00+00:00,CAL FIRE San Luis Obispo Unit,San Luis Obispo,281712,50,100,nan,CAL FIRE San Luis Obispo Unit,-120.6368,35.5123,nan,5b5ce06d-7ea9-4d28-b564-715fd0d04f3f,2013-05-25 18:45:00+00:00,5/25/2013,5/25/2013,N
Smiley Fire,Y,2013-05-25 23:00:00+00:00,2013-05-25 14:59:00+00:00,CAL FIRE/Riverside County Fire,Riverside,2429487,124,100,nan,CAL FIRE/Riverside County Fire,-117.187934,33.963591,nan,9795afee-7e60-4ab3-b5c3-7df67f91c5f9,2013-05-25 23:00:00+00:00,5/25/2013,5/25/2013,N
General Fire,Y,2022-10-24 11:41:51+00:00,2013-05-26 12:04:00+00:00,CAL FIRE San Diego Unit,San Diego,3289701,2500,100,nan,CAL FIRE San Diego Unit,-116.5209,33.04458,nan,07a5397c-a665-4f84-9a82-5f689cb2c8f3,2013-05-31 06:15:00+00:00,5/31/2013,5/26/2013,N
White Fire,Y,2013-05-30 19:30:00+00:00,2013-05-27 14:45:00+00:00,USFS Los Padres National Forest,Santa Barbara,445213,1984,100,nan,USFS Los Padres National Forest,-119.82429,34.55048,nan,abc61995-8bea-4be1-aa49-ee378ab3baaa,2013-05-30 19:30:00+00:00,5/30/2013,5/27/2013,N
Magic Fire,Y,2013-05-29 15:30:00+00:00,2013-05-28 11:30:00+00:00,Los Angeles County Fire Department,Los Angeles,9936690,149,100,nan,Los Angeles County Fire Department,-118.58688,34.419284,nan,794412f2-1ba2-4217-ac38-49272a96fb6f,2013-05-29 15:30:00+00:00,5/29/2013,5/28/2013,N
Olive Fire,Y,2013-05-29 10:30:00+00:00,2013-05-28 15:24:00+00:00,Santa Barbara County Fire,Santa Barbara,445213,170,100,nan,Santa Barbara County Fire,-120.074655,34.611824,nan,cb5f34a0-177e-445d-9349-dd94063a01d0,2013-05-29 10:30:00+00:00,5/29/2013,5/28/2013,N
Branch Fire,Y,2013-06-03 18:30:00+00:00,2013-06-01 17:27:00+00:00,Los Padres National Forest,San Luis Obispo,281712,500,100,nan,Los Padres National Forest,-120.05131,35.15832,nan,213dc89e-9f29-4480-91a6-aec5fb694999,2013-06-03 18:30:00+00:00,6/3/2013,6/1/2013,N
Murphy Fire,Y,2013-06-02 16:55:00+00:00,2013-06-02 13:30:00+00:00,CAL FIRE Tuolumne-Calaveras Unit,Tuolumne,54993,100,100,nan,CAL FIRE Tuolumne-Calaveras Unit,-120.33313,37.91529,nan,98bfbb7c-8446-4e2e-a268-7e961353723c,2013-06-02 16:55:00+00:00,6/2/2013,6/2/2013,N
Lone Fire,Y,2013-06-03 20:00:00+00:00,2013-06-03 13:49:00+00:00,CAL FIRE Butte Unit,Butte,213605,298,100,All road closures have been lifted.,"CAL FIRE Butte Unit, CAL FIRE, El Medio Fire, Chico Fire Dept, Oroville Fire Dept, Butte Co. Sheriff's Dept, Butte Co. Public Works, PG&E and CHP",-121.576804,39.434183,nan,1a5192f1-bc99-4130-8683-381e0534b76a,2013-06-03 20:00:00+00:00,6/3/2013,6/3/2013,N
Hathaway Fire,Y,2013-06-09 16:45:00+00:00,2013-06-09 12:30:00+00:00,USFS San Bernardino National Forest,Riverside,2429487,0,100,nan,USFS San Bernardino National Forest,-116.84137,33.99647,nan,befb9d5c-c0ea-48b8-8589-2586be0275af,2013-06-09 16:45:00+00:00,6/9/2013,6/9/2013,N
Sonoma-Lake-NapaUnitLightningFires,Y,2013-06-1415:45:00+00:00,2013-06-1000:46:00+00:00,CALFIRESonoma-Lake-NapaUnit,"Sonoma,Solano,Lake,Colusa",1029266,28,100,nan,CALFIRESonoma-Lake-NapaUnit,-122.0437,38.4229,nan,5ce45b6c-81b5-422c-9078-8c68dd872c8a,2013-06-1415:45:00+00:00,6/14/2013,6/10/2013,N
152 Fire,Y,2013-06-05 08:30:00+00:00,2013-06-04 15:42:00+00:00,CAL FIRE Madera-Mariposa-Merced Unit,Merced,282290,124,100,nan,CAL FIRE Madera-Mariposa-Merced Unit,-121.006939,37.03776,nan,f9e85371-fc46-4f54-822c-7dcdaadde551,2013-06-05 08:30:00+00:00,6/5/2013,6/4/2013,N
Lake Fire,Y,2013-06-06 07:00:00+00:00,2013-06-05 16:05:00+00:00,CAL FIRE Sonoma-Lake-Napa Unit,Lake,68024,30,100,nan,CAL FIRE Sonoma-Lake-Napa Unit,-122.703193,38.99233,nan,dcb21e64-9d38-47c2-848b-e8e0dea5c2de,2013-06-06 07:00:00+00:00,6/6/2013,6/5/2013,N
Powerhouse Fire,Y,2013-06-08 18:30:00+00:00,2013-05-30 15:28:00+00:00,USFS Angeles National Forest/Los Angeles County/CAL FIRE,Los Angeles,9936690,30274,100,nan,USFS Angeles National Forest/Los Angeles County/CAL FIRE,-118.423176,34.585595,nan,bf37805e-1cc2-4208-9972-753e47874c87,2013-06-08 18:30:00+00:00,6/8/2013,5/30/2013,N
Vasco Fire,Y,2013-06-08 13:25:00+00:00,2013-06-08 10:16:00+00:00,CAL FIRE Santa Clara Unit,Alameda,1663823,240,100,nan,CAL FIRE Santa Clara Unit,-121.737213,37.775057,nan,2ad509e4-99f1-4e1a-81eb-839f772f9c45,2013-06-08 13:25:00+00:00,6/8/2013,6/8/2013,N
Viper Fire,Y,2013-06-08 19:00:00+00:00,2013-06-08 15:37:00+00:00,CAL FIRE/Riverside County Fire,Riverside,2429487,42,100,nan,CAL FIRE/Riverside County Fire,-117.1265,33.96936,nan,e9505435-e861-4f33-9069-b0040fb2a135,2013-06-08 19:00:00+00:00,6/8/2013,6/8/2013,N
Northern California Lightning Activity,Y,2013-06-14 16:30:00+00:00,2013-06-10 00:46:00+00:00,California Northern Region,nan,0,60,100,nan,California Northern Region,-121.5747,39.9845,nan,369e41d4-75a6-4be0-a38a-5f7450553631,2013-06-14 16:30:00+00:00,6/14/2013,6/10/2013,N
Roadrunner Fire,Y,2013-06-13 09:45:00+00:00,2013-06-12 16:43:00+00:00,CAL FIRE Amador-El Dorado Unit,Amador,40577,96,100,nan,CAL FIRE Amador-El Dorado Unit,-120.966016,38.27783,nan,bf59bc5b-1398-4ae5-adef-6f61b9ee1b90,2013-06-13 09:45:00+00:00,6/13/2013,6/12/2013,N
Revis Fire,Y,2013-06-14 16:30:00+00:00,2013-06-12 16:40:00+00:00,CAL FIRE Madera-Mariposa-Merced Unit,Madera,157243,75,100,nan,CAL FIRE Madera-Mariposa-Merced Unit,-119.75636,37.169379,nan,7055a440-5d4c-4f58-bac9-2954ff6698a5,2013-06-14 16:30:00+00:00,6/14/2013,6/12/2013,N
Clinton Fire,Y,2013-06-13 21:30:00+00:00,2013-06-13 11:54:00+00:00,CAL FIRE/Fresno County Fire,Fresno,1008280,108,100,nan,CAL FIRE/Fresno County Fire,-119.628389,36.772425,nan,a2cfda2a-21c1-4e45-90b5-37d931b4a926,2013-06-13 21:30:00+00:00,6/13/2013,6/13/2013,N
Carstens Fire,Y,2013-06-26 11:15:00+00:00,2013-06-16 14:12:00+00:00,CAL FIRE Madera-Mariposa-Merced Unit / Sierra National Forest ,Mariposa,17130,1708,100,nan,"CAL FIRE Madera-Mariposa-Merced Unit / Sierra National Forest , CAL FIRE, US Forest Service, California Highway Patrol, National Park Service, Mariposa County, Mariposa County Fire, Mariposa County Sheriff.",-119.91071,37.58202,nan,bb2eb175-43a3-4a5c-bff6-e3669e52c1d1,2013-06-26 11:15:00+00:00,6/26/2013,6/16/2013,N
PFE Fire,Y,2013-06-13 14:15:00+00:00,2013-06-13 11:28:00+00:00,CAL FIRE/Placer County Fire,Placer,406608,237,100,nan,CAL FIRE/Placer County Fire,-121.380862,38.729297,nan,fe47b1c2-b9c0-44be-8d10-f270056db35c,2013-06-13 14:15:00+00:00,6/13/2013,6/13/2013,N
Michelle Fire,Y,2013-06-13 21:30:00+00:00,2013-06-13 15:54:00+00:00,CAL FIRE/Fresno County Fire,Fresno,1008280,35,100,nan,CAL FIRE/Fresno County Fire,-119.558244,36.763367,nan,953f17a1-2034-467b-b48c-28da1a9af60e,2013-06-13 21:30:00+00:00,6/13/2013,6/13/2013,N
Palmyrita Fire,Y,2013-06-15 08:00:00+00:00,2013-06-14 13:47:00+00:00,CAL FIRE/Riverside County Fire,Riverside,2429487,40,100,nan,CAL FIRE/Riverside County Fire,-117.302057,34.001745,nan,2d1f0c40-92e7-4540-991b-d353ed68ec6c,2013-06-15 08:00:00+00:00,6/15/2013,6/14/2013,N
Rolling Fire,Y,2022-10-24 11:42:08+00:00,2013-06-16 18:17:00+00:00,CAL FIRE Madera-Mariposa-Merced Unit,Madera,157243,480,100,nan,CAL FIRE Madera-Mariposa-Merced Unit,-119.78106,37.015575,nan,05d0fed7-8502-4a6f-9c5c-b9cee0e75408,2013-06-18 19:30:00+00:00,6/18/2013,6/16/2013,N
California Fire,Y,2013-06-18 22:30:00+00:00,2013-06-18 15:18:00+00:00,CAL FIRE Sanoma-Lake-Napa Unit,Solano,450995,124,100,nan,CAL FIRE Sanoma-Lake-Napa Unit,-122.13802,38.08744,nan,2b403f03-fe84-450a-90b7-befb8acc7e70,2013-06-18 22:30:00+00:00,6/18/2013,6/18/2013,N
Sierra Fire,Y,2013-06-19 08:45:00+00:00,2013-06-17 14:41:00+00:00,CAL FIRE/Fresno County Fire,Fresno,1008280,46,100,nan,CAL FIRE/Fresno County Fire,-119.463757,37.03087,nan,15e7e15d-f707-473e-b0f3-6534cfd845b7,2013-06-19 08:45:00+00:00,6/19/2013,6/17/2013,N
George Fire,Y,2013-06-25 17:15:00+00:00,2013-06-25 13:36:00+00:00,CAL FIRE/Fresno County Fire,Fresno,1008280,150,100,nan,CAL FIRE/Fresno County Fire,-119.2248,36.7218,nan,23ec2f69-da30-4983-80c2-1f04bfea6f9a,2013-06-25 17:15:00+00:00,6/25/2013,6/25/2013,N
Mount Fire,Y,2013-06-20 13:15:00+00:00,2013-06-20 14:29:00+00:00,CAL FIRE Sanoma-Lake-Napa Unit,Lake,68024,25,100,nan,CAL FIRE Sanoma-Lake-Napa Unit,-122.81796,38.98058,nan,d489b45e-dcba-4eaa-8bb5-6a23255562da,2013-06-20 13:15:00+00:00,6/20/2013,6/20/2013,N
Mills Fire,Y,2022-10-24 11:35:12+00:00,2013-06-28 14:30:00+00:00,CAL FIRE San Bernardino Unit/ City of Redlands/San Bernardino Sheriff,San Bernardino,2180563,534,100,nan,CAL FIRE San Bernardino Unit/ City of Redlands/San Bernardino Sheriff,-117.048397,34.071556,nan,6011819c-19ac-46c2-aa48-0ee8be0e48c0,2013-07-01 06:00:00+00:00,7/1/2013,6/28/2013,N
Concord Fire,Y,2013-07-01 18:30:00+00:00,2013-07-01 15:41:00+00:00,CAL FIRE Santa Clara Unit,Contra Costa,1162648,274,100,nan,CAL FIRE Santa Clara Unit,-121.74367,39.90465,nan,95399a9c-8b3e-4413-9f56-5ed57d3d81b3,2013-07-01 18:30:00+00:00,7/1/2013,7/1/2013,N
Freeman Fire,Y,2013-06-29 18:30:00+00:00,2013-06-29 14:09:00+00:00,CAL FIRE San Benito-Monterey Unit ,Monterey,437609,105,100,nan,CAL FIRE San Benito-Monterey Unit ,-120.8973,36.1531,nan,58317b8d-7f4d-466f-b2c7-035c25fb00f0,2013-06-29 18:30:00+00:00,6/29/2013,6/29/2013,N
Kirker Fire,Y,2022-10-24 11:37:51+00:00,2013-07-01 13:19:00+00:00,CAL FIRE Santa Clara Unit,Contra Costa,1162648,492,100,nan,CAL FIRE Santa Clara Unit,-121.91453,37.96866,nan,522114fe-ada8-49a9-9bb2-5891103ff0ca,2013-07-01 18:40:00+00:00,7/1/2013,7/1/2013,N
Northern Region July Lightning,Y,2013-07-04 10:45:00+00:00,2013-07-02 12:00:00+00:00,CAL FIRE Northern Region,nan,0,754,100,nan,CAL FIRE Northern Region,-121.5747,39.9845,nan,42690ee2-a5ed-4320-9a55-d5ff3d1a80f5,2013-07-04 10:45:00+00:00,7/4/2013,7/2/2013,N
Fox Fire (formally 3-7 Fire),Y,2013-07-05 18:30:00+00:00,2013-07-03 22:56:00+00:00,CAL FIRE Lassen-Modoc Unit,Modoc,8651,502,100,nan,CAL FIRE Lassen-Modoc Unit,-121.035,41.2415,nan,8b51033d-abc6-4ea4-8983-990ad4e1c45e,2013-07-05 18:30:00+00:00,7/5/2013,7/3/2013,N
Vina Fire,Y,2013-07-04 10:30:00+00:00,2013-07-04 07:30:00+00:00,CAL FIRE Tehama-Glenn Unit,Tehama,65484,200,100,nan,CAL FIRE Tehama-Glenn Unit,-122.079871,40.012398,nan,c94959d7-eb88-4724-8feb-ba0662afca10,2013-07-04 10:30:00+00:00,7/4/2013,7/4/2013,N
Grant Fire,Y,2013-07-04 11:30:00+00:00,2013-07-04 10:00:00+00:00,CAL FIRE Santa Clara Unit,Alameda,1663823,50,100,nan,CAL FIRE Santa Clara Unit,-121.5869,37.7393,nan,07fb8b11-f39b-4cd0-8a27-2d4fef7fe680,2013-07-04 11:30:00+00:00,7/4/2013,7/4/2013,N
Fallon Fire,Y,2013-07-06 14:30:00+00:00,2013-07-06 13:09:00+00:00,CAL FIRE Santa Clara Unit / Alameda County Fire,Alameda,1663823,38,100,nan,CAL FIRE Santa Clara Unit / Alameda County Fire,-121.86216,37.74241,nan,4c04a4e5-f580-4e62-bb53-2575c72d29dc,2013-07-06 14:30:00+00:00,7/6/2013,7/6/2013,N
Chariot Fire,Y,2013-07-15 06:15:00+00:00,2013-07-06 12:55:00+00:00,CAL FIRE San Diego Unit / Cleveland National Forest,San Diego,3289701,7055,100,nan,"CAL FIRE San Diego Unit / Cleveland National Forest, CAL FIRE, USFS Cleveland NF, CHP, San Diego County Fire Authority, San Diego County Sheriff, California State Parks",-116.47381,32.95435,nan,ee19b2ec-a96a-4738-994e-fb3ea016e053,2013-07-15 06:15:00+00:00,7/15/2013,7/6/2013,N
Adelaida Fire,Y,2013-07-07 22:00:00+00:00,2013-07-07 13:16:00+00:00,CAL FIRE San Luis Obispo,San Luis Obispo,281712,85,100,nan,CAL FIRE San Luis Obispo,-120.83417,35.62743,nan,a97d2b3a-3a53-424f-852c-5f1b8d199cc3,2013-07-07 22:00:00+00:00,7/7/2013,7/7/2013,N
McGanney Fire,Y,2013-07-08 17:30:00+00:00,2013-07-08 09:59:00+00:00,CAL FIRE Nevada-Placer-Yuba Unit,Yuba,81705,73,100,nan,CAL FIRE Nevada-Placer-Yuba Unit,-121.31634,39.206,nan,397ed8e6-6088-4e03-9316-8f50c65a83be,2013-07-08 17:30:00+00:00,7/8/2013,7/8/2013,N
Fiddler Fire,Y,2013-07-09 15:00:00+00:00,2013-07-09 11:59:00+00:00,CAL FIRE Shasta-Trinity Unit,Shasta,181852,43,100,nan,CAL FIRE Shasta-Trinity Unit,-122.7338,40.373,nan,3f64fc8a-8870-4e64-b60a-3e13c8532acd,2013-07-09 15:00:00+00:00,7/9/2013,7/9/2013,N
Kyburz Fire,Y,2013-07-11 18:30:00+00:00,2013-07-08 12:45:00+00:00,Eldorado National Forest,El Dorado,191713,572,100,nan,Eldorado National Forest,-120.298,38.774,nan,d778a3f0-2d23-43c1-b9bc-1ea33898fab2,2013-07-11 18:30:00+00:00,7/11/2013,7/8/2013,N
Uvas Fire,Y,2013-07-12 17:45:00+00:00,2013-07-12 13:09:00+00:00,CAL FIRE Santa Clara Unit,Santa Clara,1916831,50,100,nan,CAL FIRE Santa Clara Unit,-121.7804,37.1438,nan,e779a754-29fd-472f-8d29-46cfee32d3c2,2013-07-12 17:45:00+00:00,7/12/2013,7/12/2013,N
Diablo Fire,Y,2013-07-13 21:45:00+00:00,2013-07-12 15:35:00+00:00,CAL FIRE Santa Clara Unit,Stanislaus,552063,150,100,nan,CAL FIRE Santa Clara Unit,-121.1955,37.436,nan,873074c8-4b6d-417b-a78c-1d1430027805,2013-07-13 21:45:00+00:00,7/13/2013,7/12/2013,N
Mountain Fire,Y,2022-10-24 11:38:10+00:00,2013-07-15 13:43:00+00:00,CAL FIRE Riverside Unit / San Bernardino National Forest,Riverside,2429487,27531,100,nan,CAL FIRE Riverside Unit / San Bernardino National Forest,-116.72885,33.7095,nan,a3149fec-4d48-427c-8b2c-59e8b79d59db,2013-07-30 18:00:00+00:00,7/30/2013,7/15/2013,N
Orleans Complex,Y,2013-08-03 15:00:00+00:00,2013-08-03 08:00:00+00:00,Six Rivers National Forest,Humboldt,136132,0,100,nan,Six Rivers National Forest,-123.376,41.333,nan,7d4f107b-66a9-43d2-819d-ec855c2947bf,2013-08-03 15:00:00+00:00,8/3/2013,8/3/2013,N
Silverwood Fire,Y,2013-07-26 18:15:00+00:00,2013-07-25 15:09:00+00:00,San Bernardino County Fire,San Bernardino,2180563,75,100,nan,San Bernardino County Fire,-117.352,34.316,nan,ed51bbd2-6f8e-4f46-9073-3673a583fada,2013-07-26 18:15:00+00:00,7/26/2013,7/25/2013,N
Flume Fire,Y,2013-07-28 17:50:00+00:00,2013-07-28 09:43:00+00:00,CAL FIRE San Diego Unit,San Diego,3289701,25,100,nan,CAL FIRE San Diego Unit,-116.707335,32.612773,nan,c6cfeed9-55bb-4fdb-8a52-e4d947dba721,2013-07-28 17:50:00+00:00,7/28/2013,7/28/2013,N
Aspen Fire,Y,2013-09-24 20:15:00+00:00,2013-07-22 22:15:00+00:00,Sierra National Forest,Fresno,1008280,22992,100,nan,Sierra National Forest,-119.318,37.279,nan,bee8c339-4f26-4b78-a5b4-a8a0ebdb8786,2013-09-24 20:15:00+00:00,9/24/2013,7/22/2013,N
Salmon River Complex,Y,2013-08-31 06:45:00+00:00,2013-07-31 22:00:00+00:00,Klamath National Forest,Siskiyou,44049,14754,100,nan,Klamath National Forest,-123.176,41.32,nan,ba76c009-09c9-497c-b923-1ac8cf05c20d,2013-08-31 06:45:00+00:00,8/31/2013,7/31/2013,N
Branch Fire,Y,2013-08-04 14:45:00+00:00,2013-08-01 16:01:00+00:00,CAL FIRE Butte Unit,Butte,213605,92,100,nan,CAL FIRE Butte Unit,-121.50354,39.6612,nan,0b51d3d5-bb3a-426d-9c12-c1878a01d7cf,2013-08-04 14:45:00+00:00,8/4/2013,8/1/2013,N
Redlands Fire,Y,2013-07-17 07:45:00+00:00,2013-07-16 17:48:00+00:00,CAL FIRE / Riverside County Fire,Riverside,2429487,150,100,nan,CAL FIRE / Riverside County Fire,-117.164997,33.990128,nan,d48a839f-d8da-44d7-9b35-b9f61aa28c61,2013-07-17 07:45:00+00:00,7/17/2013,7/16/2013,N
